cases;deaths;country;pop2018;date
61;1;Afghanistan;37172386;2020-04-22
35;2;Afghanistan;37172386;2020-04-21
88;3;Afghanistan;37172386;2020-04-20
63;0;Afghanistan;37172386;2020-04-19
51;1;Afghanistan;37172386;2020-04-18
10;4;Afghanistan;37172386;2020-04-17
70;2;Afghanistan;37172386;2020-04-16
49;2;Afghanistan;37172386;2020-04-15
58;3;Afghanistan;37172386;2020-04-14
52;0;Afghanistan;37172386;2020-04-13
34;3;Afghanistan;37172386;2020-04-12
37;0;Afghanistan;37172386;2020-04-11
61;1;Afghanistan;37172386;2020-04-10
56;3;Afghanistan;37172386;2020-04-09
30;4;Afghanistan;37172386;2020-04-08
38;0;Afghanistan;37172386;2020-04-07
29;2;Afghanistan;37172386;2020-04-06
35;1;Afghanistan;37172386;2020-04-05
0;0;Afghanistan;37172386;2020-04-04
43;0;Afghanistan;37172386;2020-04-03
26;0;Afghanistan;37172386;2020-04-02
25;0;Afghanistan;37172386;2020-04-01
27;0;Afghanistan;37172386;2020-03-31
8;1;Afghanistan;37172386;2020-03-30
15;1;Afghanistan;37172386;2020-03-29
16;1;Afghanistan;37172386;2020-03-28
0;0;Afghanistan;37172386;2020-03-27
33;0;Afghanistan;37172386;2020-03-26
2;0;Afghanistan;37172386;2020-03-25
6;1;Afghanistan;37172386;2020-03-24
10;0;Afghanistan;37172386;2020-03-23
0;0;Afghanistan;37172386;2020-03-22
2;0;Afghanistan;37172386;2020-03-21
0;0;Afghanistan;37172386;2020-03-20
0;0;Afghanistan;37172386;2020-03-19
1;0;Afghanistan;37172386;2020-03-18
5;0;Afghanistan;37172386;2020-03-17
6;0;Afghanistan;37172386;2020-03-16
3;0;Afghanistan;37172386;2020-03-15
3;0;Afghanistan;37172386;2020-03-11
3;0;Afghanistan;37172386;2020-03-08
0;0;Afghanistan;37172386;2020-03-02
0;0;Afghanistan;37172386;2020-03-01
0;0;Afghanistan;37172386;2020-02-29
0;0;Afghanistan;37172386;2020-02-28
0;0;Afghanistan;37172386;2020-02-27
0;0;Afghanistan;37172386;2020-02-26
1;0;Afghanistan;37172386;2020-02-25
0;0;Afghanistan;37172386;2020-02-24
0;0;Afghanistan;37172386;2020-02-23
0;0;Afghanistan;37172386;2020-02-22
0;0;Afghanistan;37172386;2020-02-21
0;0;Afghanistan;37172386;2020-02-20
0;0;Afghanistan;37172386;2020-02-19
0;0;Afghanistan;37172386;2020-02-18
0;0;Afghanistan;37172386;2020-02-17
0;0;Afghanistan;37172386;2020-02-16
0;0;Afghanistan;37172386;2020-02-15
0;0;Afghanistan;37172386;2020-02-14
0;0;Afghanistan;37172386;2020-02-13
0;0;Afghanistan;37172386;2020-02-12
0;0;Afghanistan;37172386;2020-02-11
0;0;Afghanistan;37172386;2020-02-10
0;0;Afghanistan;37172386;2020-02-09
0;0;Afghanistan;37172386;2020-02-08
0;0;Afghanistan;37172386;2020-02-07
0;0;Afghanistan;37172386;2020-02-06
